# OF ORDERS,CATEGORY,DISH,COMPONENT,INGREDIENT,QUANTITY PER SERVING,UNIT,TOTAL Q FOR THIS WEEK,IN STOCK,DIFF,NEED TO SHOP?,Q,UNIT,WHERE TO SHOP (1ST CHOICE)
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,POTATO RUSSET,0.38,POTATO RUSSET,7.50,10,27.5,YES,27.5,POTATO RUSSET,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,POTATO SWEET,0.38,POTATO SWEET,7.50,0,10.90,YES,10.9,POTATO SWEET,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,LIME ZEST,0.25,TSP,5.00,5,0,NO,0,TSP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,LIME JUICE,0.25,TBSP,5.00,999,-956.5,NO,956.5,TBSP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,COCONUT MILK,1.75,OZ,35.00,999,-904,NO,904,OZ,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,CILANTRO,0.03,CUP,0.63,4,-0.375,NO,0.375,CUP,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,EVOO,0.33,TBSP,6.60,999,-939.4,NO,939.4,TBSP,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,ONION,0.27,ONION,5.40,10,32.90,YES,32.9,ONION,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,GARLIC,0.33,CLOVE,6.60,999,-912.9,NO,912.9,CLOVE,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,CUMIN,0.17,TSP,3.40,999,-963.1,NO,963.1,TSP,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,CHILI POWDER,0.08,CHILI POWDER,1.60,999,-992.4,NO,992.4,CHILI POWDER,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,DICED TOMATO,2.50,OZ,50.00,999,-949,NO,949,OZ,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,VEG BROTH,1.00,CUPS,20.00,999,-935,NO,935,CUPS,RD
20,SOUP,TOMATO RED LENTIL WITH HERBS SOUP,WHOLE SOUP,POTATO SWEET,0.17,POTATO SWEET,3.40,0,10.90,YES,10.9,POTATO SWEET,RD
